Time,T1,T2,Q1,Q2
30.0,22.22,20.963,50.0,0.0
31.0,22.413,20.931,50.0,0.0
32.0,22.606,20.963,50.0,0.0
33.0,22.768,20.931,50.0,0.0
34.0,23.058,20.995,50.0,0.0
35.0,22.993,21.092,50.0,0.0
36.01,23.283,21.124,50.0,0.0
37.01,23.477,21.092,50.0,0.0
38.01,23.799,21.156,50.0,0.0
39.0,23.831,21.188,50.0,0.0
40.01,24.024,21.156,50.0,0.0
41.0,23.896,21.156,50.0,0.0
42.01,24.186,21.253,50.0,0.0
43.01,24.443,21.221,50.0,0.0
44.01,24.637,21.156,50.0,0.0
45.01,24.733,21.188,50.0,0.0
46.0,25.088,21.188,50.0,0.0
47.0,25.249,21.221,50.0,0.0
48.01,25.281,21.221,50.0,0.0
49.01,25.668,21.221,50.0,0.0
50.0,25.926,21.221,50.0,0.0
51.0,25.894,21.285,50.0,0.0
52.01,26.248,21.285,50.0,0.0
53.0,26.441,21.253,50.0,0.0
54.01,26.603,21.414,50.0,0.0
55.01,26.635,21.511,50.0,0.0
56.01,26.699,21.446,50.0,0.0
57.01,26.925,21.543,50.0,0.0
58.0,26.989,21.543,50.0,0.0
59.01,27.473,21.543,50.0,0.0
60.0,27.73,21.543,50.0,0.0
61.01,27.956,21.543,50.0,0.0
62.01,28.149,21.543,50.0,0.0
63.0,28.439,21.543,50.0,0.0
64.0,28.375,21.64,50.0,0.0
65.0,28.472,21.64,50.0,0.0
66.01,28.568,21.736,50.0,0.0
67.01,29.535,21.833,50.0,0.0
68.01,31.275,21.865,50.0,0.0
69.01,31.533,21.897,50.0,0.0
70.01,31.598,21.865,50.0,0.0
71.0,30.405,21.865,50.0,0.0
72.01,30.276,21.865,50.0,0.0
73.01,30.889,21.897,50.0,0.0
74.0,31.791,22.026,50.0,0.0
75.01,30.663,21.865,50.0,0.0
76.01,31.211,22.026,50.0,0.0
77.01,31.179,22.059,50.0,0.0
78.0,32.081,22.188,50.0,0.0
79.0,30.631,22.252,50.0,0.0
80.0,33.241,22.188,50.0,0.0
81.01,33.467,22.252,50.0,0.0
82.0,33.145,22.284,50.0,0.0
83.0,33.789,22.542,50.0,0.0
84.01,33.854,22.478,50.0,0.0
85.01,34.111,22.478,50.0,0.0
86.0,34.24,22.51,50.0,0.0
87.01,34.434,22.51,50.0,0.0
88.01,34.434,22.51,50.0,0.0
89.01,34.756,22.51,50.0,0.0
90.01,34.756,22.51,50.0,0.0
91.01,35.078,22.639,50.0,0.0
92.0,35.078,22.671,50.0,0.0
93.01,35.336,22.768,50.0,0.0
94.0,35.4,22.832,50.0,0.0
95.01,35.594,22.832,50.0,0.0
96.0,35.723,22.832,50.0,0.0
97.0,35.852,22.832,50.0,0.0
98.0,36.045,22.832,50.0,0.0
99.0,36.077,22.896,50.0,0.0
100.01,36.367,22.929,50.0,0.0
101.0,36.399,23.09,50.0,0.0
102.01,36.689,23.154,50.0,0.0
103.01,36.689,23.154,50.0,0.0
104.01,37.012,23.187,50.0,0.0
105.01,37.012,23.154,50.0,0.0
106.0,37.173,23.154,50.0,0.0
107.0,37.334,23.187,50.0,0.0
108.0,37.398,23.38,50.0,0.0
109.01,37.656,23.412,50.0,0.0
110.0,37.656,23.412,50.0,0.0
111.01,37.914,23.477,50.0,0.0
112.01,37.979,23.477,50.0,0.0
113.0,38.204,23.477,50.0,0.0
114.01,38.301,23.477,50.0,0.0
115.0,38.301,23.477,50.0,0.0
116.01,38.623,23.573,50.0,0.0
117.0,38.623,23.734,50.0,0.0
118.01,37.205,23.67,50.0,0.0
119.01,37.205,23.767,50.0,0.0
120.01,37.527,23.767,50.0,0.0
121.0,37.527,23.767,50.0,0.0
122.01,37.012,23.799,50.0,0.0
123.01,37.817,23.799,50.0,0.0
124.01,37.753,23.767,50.0,0.0
125.01,38.365,23.799,50.0,0.0
126.01,38.107,23.896,50.0,0.0
127.01,38.14,24.024,50.0,0.0
128.01,38.172,24.057,50.0,0.0
129.01,40.234,24.121,50.0,0.0
130.0,40.234,24.121,50.0,0.0
131.0,40.557,24.186,50.0,0.0
132.01,40.557,24.411,50.0,0.0
